text,crowdflower_detail,annotator_vote,annotator_num,negative_crowdflower,negative_self_label,distortion_yn,quote,magnitude,distortion.category,Positive,Negative,userid
"-->[PHONE]<-- to reduce my bill [by quite bit] got rid of ALL minutes...it IS still possible to call me, but since it's $. //min, even less likely to answer now than before... so PLEASE use text//email//IM [all still unlimited]... if you need to call, my alternate # - - is free for INCOMING calls [not cell tho~it's on my computer]",no,2,4,no,No,no,,NA,,3,-2,cf5a3f66c42918587a1428a6f7d7eec9
"-->[PHONE]<-- to reduce my bill [by quite bit] got rid of ALL minutes...it IS still possible to call me, but since it's $. //min, even less likely to answer now than before... so PLEASE use text//email//IM [all still unlimited]... if you need to call, my alternate # - - is free for INCOMING calls [not cell tho~it's on my computer]",yes,2,4,no,No,no,,NA,,3,-2,cf5a3f66c42918587a1428a6f7d7eec9
"-->[PHONE]<-- to reduce my bill [by quite bit] got rid of ALL minutes...it IS still possible to call me, but since it's $. //min, even less likely to answer now than before... so PLEASE use text//email//IM [all still unlimited]... if you need to call, my alternate # - - is free for INCOMING calls [not cell tho~it's on my computer]",mixed,0,4,no,No,no,,NA,,3,-2,cf5a3f66c42918587a1428a6f7d7eec9
-.- I'm okay... Just fine... @.@ Why do bother lying to myself!? AAAAAAAHHH!!! DON'T WANNA DO THAT LONG ORAL! >.> I-I-I'M SICK! THE TIRE BLEW OUT! >.< PIRATES COMMANDEERED THE LIFE-RAFT AND CAN'T SWIM! I'LL DROWN WHEN THE SHIP GOES DOWN! NNNNYYYYYYOOOOOOOUUUU! ... -.- But seriously I'm okay. My panic switch is in the off position. <.< It just looks like its on because it's an optic illusion...,yes,2,3,yes,yes,no,,4,,3,-5,d2fd0e6603da3520e02315e11b009fbf
-.- I'm okay... Just fine... @.@ Why do bother lying to myself!? AAAAAAAHHH!!! DON'T WANNA DO THAT LONG ORAL! >.> I-I-I'M SICK! THE TIRE BLEW OUT! >.< PIRATES COMMANDEERED THE LIFE-RAFT AND CAN'T SWIM! I'LL DROWN WHEN THE SHIP GOES DOWN! NNNNYYYYYYOOOOOOOUUUU! ... -.- But seriously I'm okay. My panic switch is in the off position. <.< It just looks like its on because it's an optic illusion...,mixed,0,3,yes,yes,no,,4,,3,-5,d2fd0e6603da3520e02315e11b009fbf
-.- I'm okay... Just fine... @.@ Why do bother lying to myself!? AAAAAAAHHH!!! DON'T WANNA DO THAT LONG ORAL! >.> I-I-I'M SICK! THE TIRE BLEW OUT! >.< PIRATES COMMANDEERED THE LIFE-RAFT AND CAN'T SWIM! I'LL DROWN WHEN THE SHIP GOES DOWN! NNNNYYYYYYOOOOOOOUUUU! ... -.- But seriously I'm okay. My panic switch is in the off position. <.< It just looks like its on because it's an optic illusion...,no,1,3,yes,yes,no,,4,,3,-5,d2fd0e6603da3520e02315e11b009fbf
-.-/ Jay's friends are dorks... But that's what make them seem like they act cute. don't know about you Jenn,no,2,4,no,yes,no,,1,,2,-3,2a9b90b41e9399bb331fef2582f657c3
-.-/ Jay's friends are dorks... But that's what make them seem like they act cute. don't know about you Jenn,mixed,0,4,no,yes,no,,1,,2,-3,2a9b90b41e9399bb331fef2582f657c3
-.-/ Jay's friends are dorks... But that's what make them seem like they act cute. don't know about you Jenn,yes,2,4,no,yes,no,,1,,2,-3,2a9b90b41e9399bb331fef2582f657c3
"-/Are you guys ready?/"" -/""oh fuck no./"" -/""Oh we are so gonna regret this tomorrow./"" -/""If there even is tomorrow./"" -/""Dude",no,0,3,yes,yes,yes,,2,fortune telling,1,-3,61e7f6145fd03d709cabbde3faf33412
"-/Are you guys ready?/"" -/""oh fuck no./"" -/""Oh we are so gonna regret this tomorrow./"" -/""If there even is tomorrow./"" -/""Dude",yes,3,3,yes,yes,yes,,2,fortune telling,1,-3,61e7f6145fd03d709cabbde3faf33412
"-/Are you guys ready?/"" -/""oh fuck no./"" -/""Oh we are so gonna regret this tomorrow./"" -/""If there even is tomorrow./"" -/""Dude",mixed,0,3,yes,yes,yes,,2,fortune telling,1,-3,61e7f6145fd03d709cabbde3faf33412
"; Its not simple hearing but not so soon. might've fallen for that when was fourteen, and little more green. But its amazing what couple of years could mean.",no,2,3,no,No,no,,NA,,3,-1,193165601dfad67e79ef52b2caf9fd9e
"; Its not simple hearing but not so soon. might've fallen for that when was fourteen, and little more green. But its amazing what couple of years could mean.",mixed,1,3,no,No,no,,NA,,3,-1,193165601dfad67e79ef52b2caf9fd9e
"; Its not simple hearing but not so soon. might've fallen for that when was fourteen, and little more green. But its amazing what couple of years could mean.",yes,0,3,no,No,no,,NA,,3,-1,193165601dfad67e79ef52b2caf9fd9e
"; letting go of the things we once love is not sign of weakness or that you are giving up, its to show that we understand things are just not meant to be.",yes,2,3,yes,No,no,,NA,,3,-2,193165601dfad67e79ef52b2caf9fd9e
"; letting go of the things we once love is not sign of weakness or that you are giving up, its to show that we understand things are just not meant to be.",no,1,3,yes,No,no,,NA,,3,-2,193165601dfad67e79ef52b2caf9fd9e
"; letting go of the things we once love is not sign of weakness or that you are giving up, its to show that we understand things are just not meant to be.",mixed,0,3,yes,No,no,,NA,,3,-2,193165601dfad67e79ef52b2caf9fd9e
"; was being fooled, thanks. All this while, didn't even know who you actually were. But finally know now. You don't know love, so don't claim you do. It sickens the rest of us, pathetic really.",no,0,3,yes,yes,yes,,4,mind-reading,3,-4,193165601dfad67e79ef52b2caf9fd9e
"; was being fooled, thanks. All this while, didn't even know who you actually were. But finally know now. You don't know love, so don't claim you do. It sickens the rest of us, pathetic really.",mixed,0,3,yes,yes,yes,,4,mind-reading,3,-4,193165601dfad67e79ef52b2caf9fd9e
"; was being fooled, thanks. All this while, didn't even know who you actually were. But finally know now. You don't know love, so don't claim you do. It sickens the rest of us, pathetic really.",yes,3,3,yes,yes,yes,,4,mind-reading,3,-4,193165601dfad67e79ef52b2caf9fd9e
": /Independent variables often get lonely and want to have friends/""...*giggle*.../""Scientists are obliging individuals and often put second independent variable into their designs to keep the others company/""...*silence",mixed,0,3,yes,No,no,,NA,,3,-2,39b2af957c2488970cb89c161b6bf94e
": /Independent variables often get lonely and want to have friends/""...*giggle*.../""Scientists are obliging individuals and often put second independent variable into their designs to keep the others company/""...*silence",yes,3,3,yes,No,no,,NA,,3,-2,39b2af957c2488970cb89c161b6bf94e
": /Independent variables often get lonely and want to have friends/""...*giggle*.../""Scientists are obliging individuals and often put second independent variable into their designs to keep the others company/""...*silence",no,0,3,yes,No,no,,NA,,3,-2,39b2af957c2488970cb89c161b6bf94e
": < One of my best friends, and it makes me sad that we don't see each other much any more.. D: love your cheerfulness and your little spontaneous moments, and you have great singing voice~ :D have tons of great memories of you, and you always know how to cheer me up~ :",mixed,0,3,yes,No,no,,NA,,3,-4,eaeabcfe25866f0455d349bae2450d88
": < One of my best friends, and it makes me sad that we don't see each other much any more.. D: love your cheerfulness and your little spontaneous moments, and you have great singing voice~ :D have tons of great memories of you, and you always know how to cheer me up~ :",no,0,3,yes,No,no,,NA,,3,-4,eaeabcfe25866f0455d349bae2450d88
": < One of my best friends, and it makes me sad that we don't see each other much any more.. D: love your cheerfulness and your little spontaneous moments, and you have great singing voice~ :D have tons of great memories of you, and you always know how to cheer me up~ :",yes,3,3,yes,No,no,,NA,,3,-4,eaeabcfe25866f0455d349bae2450d88
": After hours of sleep and getting my head around mind fuck of an experiment, don't really have anything to lose for the rest of the day!",no,0,3,yes,yes,no,,1,,1,-4,39b2af957c2488970cb89c161b6bf94e
": After hours of sleep and getting my head around mind fuck of an experiment, don't really have anything to lose for the rest of the day!",mixed,0,3,yes,yes,no,,1,,1,-4,39b2af957c2488970cb89c161b6bf94e
": After hours of sleep and getting my head around mind fuck of an experiment, don't really have anything to lose for the rest of the day!",yes,3,3,yes,yes,no,,1,,1,-4,39b2af957c2488970cb89c161b6bf94e
": Everything is so still outside today. It's unnerving, like something's waiting around the corner...",mixed,0,3,yes,yes,yes,,3,emotional reasoning,2,-1,39b2af957c2488970cb89c161b6bf94e
": Everything is so still outside today. It's unnerving, like something's waiting around the corner...",no,0,3,yes,yes,yes,,3,emotional reasoning,2,-1,39b2af957c2488970cb89c161b6bf94e
": Everything is so still outside today. It's unnerving, like something's waiting around the corner...",yes,3,3,yes,yes,yes,,3,emotional reasoning,2,-1,39b2af957c2488970cb89c161b6bf94e
": found some shoes in the play park! They're so cute, and are forming part of my shoot for the day :D",yes,3,3,yes,No,no,,NA,,2,-2,39b2af957c2488970cb89c161b6bf94e
": found some shoes in the play park! They're so cute, and are forming part of my shoot for the day :D",mixed,0,3,yes,No,no,,NA,,2,-2,39b2af957c2488970cb89c161b6bf94e
": found some shoes in the play park! They're so cute, and are forming part of my shoot for the day :D",no,0,3,yes,No,no,,NA,,2,-2,39b2af957c2488970cb89c161b6bf94e
": Friendship foil! And the horrible fashion mistakes we both made in th grade, haha. miss when you would sleep over at my house all the time too. Also, Inscription of Hope; we rocked that song and I've had it stuck in my head all week.",yes,3,3,yes,No,no,,NA,,2,-4,3ac58ad39d81acfe169aadc4815effe6
": Friendship foil! And the horrible fashion mistakes we both made in th grade, haha. miss when you would sleep over at my house all the time too. Also, Inscription of Hope; we rocked that song and I've had it stuck in my head all week.",no,0,3,yes,No,no,,NA,,2,-4,3ac58ad39d81acfe169aadc4815effe6
": Friendship foil! And the horrible fashion mistakes we both made in th grade, haha. miss when you would sleep over at my house all the time too. Also, Inscription of Hope; we rocked that song and I've had it stuck in my head all week.",mixed,0,3,yes,No,no,,NA,,2,-4,3ac58ad39d81acfe169aadc4815effe6
": had lovely meal with Faseeha Hussain and Sarah Pearce, and an additional surprise of seeing Rima Gehlot and Elvina Christopher!! Great to see you :D xx",no,3,3,no,No,no,,NA,,3,-1,39b2af957c2488970cb89c161b6bf94e
": had lovely meal with Faseeha Hussain and Sarah Pearce, and an additional surprise of seeing Rima Gehlot and Elvina Christopher!! Great to see you :D xx",yes,0,3,no,No,no,,NA,,3,-1,39b2af957c2488970cb89c161b6bf94e
